,Date,4:00PM,4:01PM,4:05PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM
0,2023-07-25,348.0,343.0,342.986,347.8,348.17,347.02,349.98,336.93,339.06
1,2023-04-25,275.47,287.48,288.3,288.5827,289.19,288.6603,292.31,298.51,299.56
2,2023-01-24,241.89,249.0,252.57,251.55,252.11,252.05,250.78,239.69,240.44
3,2022-10-25,246.8,249.05,246.35,244.94,246.03,244.8,238.2,233.61,233.75
4,2022-07-26,248.97,249.19,247.05,248.61,252.57,251.75,250.87,264.1,262.92
5,2022-04-26,270.31,270.36,266.4019,270.9999,267.5,272.21,277.49,286.65,282.3
6,2022-01-25,288.53,276.32,272.4,277.01,274.35,274.19,276.35,297.99,293.7
7,2021-10-26,309.85,310.11,311.0,316.0,310.5,310.29,310.03,315.17,315.35
8,2021-07-27,287.0,288.71,279.76,278.99,278.8,278.5,279.44,290.3,289.0
9,2021-04-27,262.7,262.94,252.31,254.26,252.72,253.87,253.2,255.58,255.15
10,2021-01-26,232.33,232.12,243.01,242.83,242.05,240.87,240.4999,243.2,242.0
11,2020-10-27,213.1312,213.9998,214.24,214.77,212.8,213.0,212.78,209.5,208.94
12,2020-07-22,210.5,209.66,207.37,206.0,206.02,205.92,206.07,207.1,207.1
13,2020-04-29,178.0,179.5,180.1,182.05,185.21,182.86,180.54,182.0,181.5
14,2020-01-29,168.1,168.25,172.09,171.67,173.25,172.89,173.7,175.8,175.26
15,2019-10-23,136.21,139.0,137.34,137.25,137.0,137.0,136.9,137.8,
16,2019-07-18,136.2406,138.83,137.57,138.0,138.35,138.6,139.07,139.69,139.66
17,2019-04-24,125.05,125.35,127.46,128.88,128.81,128.91,130.34,130.82,129.91
18,2019-01-30,106.5,106.4,103.94,102.93,102.15,102.46,103.81,103.8,
19,2018-10-24,101.74,102.7,101.63,106.09,105.5,105.01,106.0,104.8,104.5
20,2018-07-19,104.6999,104.6,102.9999,104.92,105.12,105.8,108.3,108.48,107.85
21,2018-04-26,94.25,94.3,91.82,93.18,94.5,93.94,94.98,96.85,97.1
22,2018-01-31,95.43,95.72,94.82,94.2,94.0,93.5,95.0,95.55,94.67
