,Date,4:00PM,4:01PM,4:05PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM
0,2023-07-19 16:00:00-04:00,292.0,291.85,283.0,292.6093,292.4,291.87,287.9,280.48,279.47
1,2023-04-19 16:00:00-04:00,180.4,181.3,177.72,173.9,174.55,174.72,173.0,173.3,169.9
2,2023-01-25 16:00:00-05:00,144.5,144.34,144.43,145.16,146.54,145.98,146.92,150.89,152.1
3,2022-10-19 16:00:00-04:00,222.6,222.4,222.84,214.22,213.91,213.7,212.1,211.55,210.25
4,2022-07-20 16:00:00-04:00,741.98,741.0,764.0,751.1,746.94,748.0,749.9,748.9,753.15
5,2022-04-20 16:00:00-04:00,977.0,979.0,979.66,1017.0,1027.0,1038.84,1020.86,1028.98,1025.0
6,2022-01-26 16:00:00-05:00,940.0,941.0,911.18,913.0,933.99,950.02,930.0101,944.0,942.0
7,2021-10-20 16:00:00-04:00,865.0,863.85,866.0,859.42,860.0,861.9,859.3,858.25,855.02
8,2021-07-26 16:00:00-04:00,658.0,656.33,676.69,662.0,669.32,672.6,668.75,665.07,663.86
9,2021-04-26 16:00:00-04:00,737.05,737.1,739.73,724.48,722.5,726.6,726.0,723.7,719.62
10,2021-01-27 16:00:00-05:00,863.9,863.96,875.0,825.0,824.37,841.93,829.0,833.0,822.5
11,2020-10-21 16:00:00-04:00,424.71,424.04,423.3501,426.04,433.88,437.2,433.2499,436.51,436.08
12,2020-07-22 16:00:00-04:00,1595.0,1590.0,1590.0,1677.37,1663.0,1675.17,1665.0,1666.0,1662.0
13,2020-04-29 16:00:00-04:00,799.5,801.47,798.5,855.09,873.0,879.02,875.8,877.0,880.5
14,2020-01-29 16:00:00-05:00,581.0,580.0,580.5,617.9,620.5,648.9999,647.8,649.39,649.89
15,2019-10-23 16:00:00-04:00,255.0,255.1,254.9994,253.0,284.5,298.84,306.4,306.5,307.6
16,2019-07-24 16:00:00-04:00,264.85,262.93,263.0,266.0,234.95,238.29,239.94,240.38,236.5
17,2019-04-24 16:00:00-04:00,258.5,258.05,258.33,260.0,258.25,264.03,258.16,258.85,259.75
18,2019-01-30 16:00:00-05:00,308.0,305.9,306.4,304.5,303.9,303.5,303.49,,294.95
19,2018-10-24 16:00:00-04:00,288.5,285.4,291.0,311.7,327.0,322.06,323.5,318.31,322.0
20,2018-08-01 16:00:00-04:00,302.07,300.8,303.0,311.0,313.26,316.0,327.02,328.4999,327.26
21,2018-05-02 16:00:00-04:00,301.41,301.75,301.0,305.38,301.98,298.8,297.0,285.0,287.12
22,2018-02-07 16:00:00-05:00,345.97,345.0,347.2,346.04,345.0,346.0,351.9,346.0,344.16
