,Date,4:00PM,4:01PM,4:05PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM
0,2023-07-19,469.86,451.9999,474.0,456.5501,456.89,451.0,447.35,436.21,437.7
1,2023-04-18,310.0,301.98,304.0603,327.93,336.23,332.0,333.0,331.19,333.6
2,2023-01-19,335.8,340.0,341.99,333.79,336.034,338.56,337.9999,,337.4
3,2022-10-18,251.01,260.0,267.32,273.85,273.68,275.4,274.7,274.16,274.7
4,2022-07-19,214.0,222.0,212.78,218.0,216.29,217.2,217.45,215.98,216.8
5,2022-04-19,294.0,283.33,283.0,267.0,260.0,257.5,258.7,260.5,258.78
6,2022-01-20,480.91,466.02,459.3,413.89,416.0,407.0,407.97,405.6,407.16
7,2021-10-19,646.9,655.0,649.0,640.29,639.06,635.0,632.8,630.2,
8,2021-07-20,499.0,505.11,516.49,520.05,533.46,532.9,533.46,535.04,
9,2021-04-20,489.16,493.75,487.01,488.05,493.43,495.4,501.85,500.24,504.0
10,2021-01-19,490.0,525.09,543.0,556.07,565.0,563.56,564.21,563.25,564.7
11,2020-10-20,492.0,495.94,490.0,498.99,494.1,495.6,495.0501,493.62,494.76
12,2020-07-16,489.5,474.95,471.65,474.0,473.73,477.99,477.0,477.72,483.8
13,2020-04-21,469.6,458.25,462.18,442.06,438.11,431.5,435.11,435.69,436.2
14,2020-01-21,342.69,340.79,332.82,339.9,341.5,344.5,346.02,345.5,
15,2019-10-16,271.11,284.77,295.5,310.0,315.0,310.0,311.44,311.55,316.05
16,2019-07-17,359.0,341.9099,324.52,324.06,317.2,319.4,319.4001,319.26,317.8
17,2019-04-16,360.0,343.6,338.11,353.67,356.2,356.75,356.5,,356.0
18,2019-01-17,348.14,342.22,349.14,341.5,343.8,339.0,338.75,339.4,340.65
19,2018-10-16,346.94,339.8,392.1,389.3,386.55,388.0,387.7,386.7,386.1
20,2018-07-16,400.0,400.94,362.87,345.98,347.6,343.79,345.99,343.72,343.56
21,2018-04-16,309.0,308.85,313.88,327.53,325.6,326.25,326.51,323.67,322.98
22,2018-01-22,227.5,227.5,239.72,247.5,248.15,247.71,246.9,246.68,246.7
23,2017-10-16,202.47,202.42,205.0,206.86,206.3,205.15,205.22,205.35,205.15
