,Date,4:00PM,4:01PM,4:05PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM
0,2023-08-03,191.17,191.89,191.94,191.71,189.07,186.95,187.3,186.6178,187.22
1,2023-05-04,165.5,165.7,165.65,168.405,168.47,169.22,169.15,169.5,169.35
2,2023-02-02,150.72,150.78,151.07,143.92,145.1,145.3,149.31,147.48,145.71
3,2022-10-27,144.97,145.0,143.23,138.1,143.0,140.9899,145.79,145.69,145.2
4,2022-07-28,157.35,157.55,158.181,161.39,163.7,162.0,162.2,162.85,162.03
5,2022-04-28,164.1,163.9,163.5,168.87,164.57,157.84,157.15,160.25,160.25
6,2022-01-27,158.61,158.59,159.1,160.3701,167.0,164.36,167.02,166.78,166.62
7,2021-10-28,152.55,152.57,152.0,147.4,147.3,148.4,147.0,147.03,147.01
8,2021-07-27,146.69,146.74,146.0,147.77,145.41,143.39,144.61,144.5501,144.2
9,2021-04-28,133.67,133.58,134.16,139.3,137.87,135.9,136.7,136.7,136.61
10,2021-01-27,142.4,142.51,142.58,139.8,141.8,139.35,138.02,138.0,137.5
11,2020-10-29,115.3,115.92,115.58,111.98,110.44,110.33,109.3,109.19,110.4
12,2020-07-30,384.5,384.91,385.98,402.77,402.87,406.5,408.45,407.3,407.87
13,2020-04-30,293.5501,293.05,292.1,299.84,287.6,289.0,285.99,286.97,286.35
14,2020-01-28,317.8,318.0,318.06,322.14,322.07,323.11,322.38,321.3,321.62
15,2019-10-30,243.5853,243.62,244.2,250.97,246.44,247.32,248.11,247.75,247.7
16,2019-07-30,208.6,208.5,209.0,212.73,217.33,218.0,217.75,217.6,217.65
17,2019-04-30,200.7,200.8071,200.64,209.76,211.5,210.7,210.9,209.95,210.25
18,2019-01-29,154.51,154.68,154.95,158.43,160.16,164.65,163.05,163.43,163.52
19,2018-11-01,222.41,222.315,222.22,216.0,212.77,208.45,207.39,208.03,207.7
20,2018-07-31,190.5,190.33,190.88,194.0,196.25,197.01,197.01,197.75,197.33
21,2018-05-01,169.2,169.25,169.73,176.71,175.09,175.3,174.9,174.85,174.77
22,2018-02-01,167.67,167.7,168.0,164.0,169.3,171.71,173.69,173.59,173.28
