,Date,4:00PM,4:01PM,4:05PM,4:30PM,5:00PM,5:30PM,6:00PM,6:30PM,7:00PM
0,2023-07-26,299.88,299.8,322.21,310.8,313.75,316.88,321.48,320.2,319.27
1,2023-04-26,209.4,209.97,210.46,229.62,233.53,234.365,234.37,234.0,233.9
2,2023-02-01,153.15,153.34,167.6188,180.08,180.9,182.14,181.6,182.91,183.13
3,2022-10-26,130.01,130.19,140.0,114.5,111.98,109.6863,105.48,105.42,105.05
4,2022-07-27,169.14,169.0,164.89,166.5,163.75,164.45,162.5,161.97,161.8
5,2022-04-27,174.01,174.0,186.64,198.0,204.12,208.26,207.72,206.37,208.35
6,2022-02-02,323.0,323.91,283.7999,251.45,252.77,252.85,249.23,248.65,249.19
7,2021-10-25,328.69,328.7,318.5,338.15,339.95,338.0,335.2,332.15,332.35
8,2021-07-28,374.05,373.68,362.14,358.75,358.24,358.4,358.5,360.94,359.51
9,2021-04-28,307.3,307.1,325.49,322.99,324.8,324.9,326.33,,326.3
10,2021-01-27,274.42,273.82,266.6,272.0,272.3,273.65,274.73,271.67,267.1
11,2020-10-29,280.83,280.83,295.0,282.57,284.0,278.53,281.9,276.0,274.9
12,2020-07-30,232.0,232.99,246.0,251.8,250.35,249.9,249.95,249.05,249.01
13,2020-04-29,193.22,193.3,199.23,213.01,213.65,214.01,212.73,212.1,212.0
14,2020-01-29,223.3,223.4,210.0,208.23,208.44,206.15,206.75,207.0,207.0
15,2019-10-30,187.93,188.14,191.0,193.2,192.42,194.84,198.01,196.7,196.56
16,2019-07-24,205.0,204.5,213.84,207.45,205.29,201.27,206.38,206.15,206.4999
17,2019-04-24,182.75,182.74,179.0,190.99,194.3,200.03,197.8,196.6,196.7
18,2019-01-30,150.56,151.0,156.5,161.9,162.35,168.04,167.59,167.75,167.86
19,2018-10-30,146.0,145.85,140.24,148.81,147.68,143.5,153.14,150.76,150.9
20,2018-07-25,218.54,218.46,198.52,200.97,199.7,181.99,168.75,172.26,172.6
21,2018-04-25,160.23,160.0,160.87,166.62,167.61,170.0,171.6,171.2,170.68
22,2018-01-31,186.77,187.0,183.22,177.73,178.45,183.28,191.5,188.9,188.8
