time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,164.130,164.130,164.130,164.130,191,164.057,164.226,164.235,164.241,164.234,164.248,-0.015,-0.006,17.029
09:01,164.120,164.130,164.120,164.130,346,164.059,164.202,164.220,164.232,164.218,164.239,-0.022,-0.009,17.029
09:02,164.130,164.130,164.130,164.130,0,164.059,164.178,164.205,164.222,164.204,164.231,-0.027,-0.013,17.029
09:03,164.130,164.130,164.130,164.130,0,164.059,164.154,164.190,164.213,164.193,164.224,-0.031,-0.017,17.029
09:04,164.250,164.250,164.250,164.250,205,164.061,164.154,164.190,164.213,164.202,164.226,-0.024,-0.018,57.815
09:05,164.250,164.250,164.250,164.250,0,164.061,164.178,164.190,164.213,164.209,164.227,-0.018,-0.018,57.815
09:06,164.190,164.190,164.190,164.190,435,164.065,164.190,164.183,164.208,164.206,164.225,-0.019,-0.018,44.990
09:07,164.190,164.190,164.190,164.190,0,164.065,164.202,164.175,164.204,164.204,164.222,-0.019,-0.018,44.990
09:08,164.190,164.190,164.190,164.190,0,164.065,164.214,164.183,164.199,164.202,164.220,-0.018,-0.018,44.990
09:09,164.190,164.190,164.190,164.190,0,164.065,164.202,164.190,164.195,164.200,164.218,-0.018,-0.018,44.990
09:10,164.190,164.190,164.190,164.190,0,164.065,164.190,164.198,164.190,164.198,164.216,-0.017,-0.018,44.990
09:11,164.360,164.360,164.360,164.360,100,164.067,164.224,164.226,164.198,164.223,164.226,-0.003,-0.015,71.205
09:12,164.360,164.360,164.360,164.360,0,164.067,164.258,164.240,164.207,164.244,164.236,0.008,-0.010,71.205
09:13,164.360,164.360,164.360,164.360,0,164.067,164.292,164.254,164.225,164.262,164.245,0.017,-0.005,71.205
09:14,164.360,164.360,164.360,164.360,0,164.067,164.326,164.275,164.242,164.277,164.254,0.023,0.001,71.205
09:15,164.360,164.360,164.360,164.360,0,164.067,164.360,164.296,164.260,164.290,164.262,0.028,0.006,71.205
09:16,164.360,164.360,164.360,164.360,0,164.067,164.360,164.317,164.278,164.301,164.269,0.032,0.011,71.205
09:17,164.360,164.360,164.360,164.360,0,164.067,164.360,164.339,164.286,164.310,164.276,0.034,0.016,71.205
09:18,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.295,164.317,164.282,0.036,0.020,71.205
09:19,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.308,164.324,164.288,0.036,0.023,71.205
09:20,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.321,164.330,164.293,0.036,0.026,71.205
09:21,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.334,164.334,164.298,0.036,0.028,71.205
09:22,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.347,164.338,164.303,0.036,0.029,71.205
09:23,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.360,164.342,164.307,0.035,0.030,71.205
09:24,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.360,164.344,164.311,0.034,0.031,71.205
09:25,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.360,164.347,164.314,0.032,0.031,71.205
09:26,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.360,164.349,164.318,0.031,0.031,71.205
09:27,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.360,164.351,164.321,0.030,0.031,71.205
09:28,164.360,164.360,164.360,164.360,0,164.067,164.360,164.360,164.360,164.352,164.324,0.028,0.030,71.205
09:29,164.400,164.500,164.400,164.480,3979,164.146,164.384,164.375,164.369,164.372,164.335,0.036,0.032,87.353
09:30,164.310,164.580,164.080,164.445,367848,164.368,164.401,164.386,164.376,164.383,164.344,0.039,0.033,74.271
09:31,164.490,164.970,164.480,164.910,21226,164.391,164.511,164.454,164.418,164.464,164.385,0.079,0.042,91.813
09:32,164.915,164.970,164.470,164.590,25089,164.408,164.557,164.483,164.436,164.483,164.401,0.083,0.050,60.993
09:33,164.610,164.700,164.250,164.300,28867,164.409,164.545,164.476,164.431,164.455,164.393,0.062,0.053,45.942
09:34,164.265,164.470,164.230,164.450,18124,164.408,164.539,164.487,164.438,164.454,164.397,0.057,0.054,52.475
09:35,164.450,164.760,164.420,164.730,36832,164.425,164.596,164.533,164.467,164.497,164.422,0.075,0.058,61.764
09:36,164.760,164.910,164.720,164.840,22183,164.442,164.582,164.593,164.503,164.550,164.453,0.097,0.066,64.684
09:37,164.820,164.900,164.720,164.720,28066,164.459,164.608,164.623,164.531,164.576,164.473,0.103,0.073,59.358
09:38,164.680,164.830,164.680,164.740,31905,164.475,164.696,164.660,164.560,164.601,164.493,0.109,0.080,59.950
09:39,164.770,164.790,164.630,164.750,35194,164.489,164.756,164.640,164.590,164.624,164.512,0.112,0.087,60.261
09:40,164.760,164.850,164.550,164.660,40055,164.501,164.742,164.649,164.613,164.630,164.523,0.107,0.091,56.036
09:41,164.640,164.890,164.630,164.690,34062,164.513,164.712,164.698,164.639,164.639,164.535,0.104,0.093,57.115
09:42,164.690,164.690,164.240,164.260,27161,164.509,164.620,164.674,164.622,164.581,164.515,0.066,0.088,41.417
09:43,164.260,164.560,164.254,164.560,18776,164.507,164.584,164.652,164.631,164.577,164.518,0.059,0.082,51.444
09:44,164.530,164.670,164.490,164.647,16129,164.509,164.563,164.628,164.610,164.588,164.528,0.060,0.078,53.894
09:45,164.600,164.650,164.480,164.570,16285,164.511,164.545,164.610,164.609,164.585,164.531,0.055,0.073,51.423
09:46,164.582,164.705,164.550,164.600,17180,164.513,164.527,164.592,164.632,164.588,164.536,0.052,0.069,52.346
09:47,164.530,164.590,164.501,164.540,8585,164.513,164.583,164.566,164.639,164.580,164.536,0.044,0.064,50.288
09:48,164.491,164.580,164.440,164.440,27584,164.512,164.559,164.538,164.617,164.559,164.529,0.030,0.057,46.973
09:49,164.410,164.410,164.310,164.390,18456,164.509,164.508,164.501,164.582,164.533,164.519,0.014,0.048,45.363
09:50,164.390,164.400,164.160,164.250,34759,164.500,164.444,164.500,164.546,164.489,164.499,-0.010,0.037,41.114
09:51,164.230,164.300,164.180,164.250,24413,164.493,164.374,164.461,164.508,164.452,164.480,-0.028,0.024,41.114
09:52,164.260,164.320,164.180,164.200,11193,164.490,164.306,164.405,164.466,164.414,164.460,-0.046,0.010,39.578
09:53,164.210,164.270,164.200,164.250,16246,164.485,164.268,164.365,164.434,164.388,164.444,-0.056,-0.003,41.915
09:54,164.240,164.270,164.140,164.250,19471,164.480,164.240,164.321,164.401,164.367,164.430,-0.063,-0.015,41.915
09:55,164.230,164.285,164.230,164.250,8429,164.478,164.240,164.285,164.400,164.349,164.416,-0.067,-0.026,41.915
09:56,164.230,164.400,164.200,164.397,26588,164.474,164.269,164.280,164.387,164.356,164.415,-0.058,-0.032,49.145
09:57,164.400,164.450,164.280,164.280,12704,164.472,164.285,164.266,164.359,164.345,164.405,-0.060,-0.038,44.406
09:58,164.290,164.470,164.290,164.450,10864,164.471,164.325,164.291,164.350,164.361,164.408,-0.047,-0.040,51.684
09:59,164.470,164.540,164.380,164.390,12489,164.471,164.353,164.308,164.334,164.365,164.407,-0.042,-0.040,49.234
10:00,164.405,164.450,164.400,164.420,18798,164.470,164.387,164.336,164.324,164.374,164.408,-0.034,-0.039,50.498
10:01,164.400,164.420,164.350,164.350,6512,164.469,164.378,164.348,164.317,164.370,164.404,-0.033,-0.038,47.525
10:02,164.350,164.353,164.240,164.240,29359,164.464,164.370,164.347,164.306,164.350,164.392,-0.041,-0.039,43.220
10:03,164.261,164.350,164.255,164.320,13771,164.462,164.344,164.356,164.311,164.345,164.386,-0.041,-0.039,46.982
10:04,164.290,164.290,164.120,164.120,12709,164.459,164.290,164.321,164.301,164.311,164.366,-0.056,-0.042,39.870
10:05,164.110,164.240,164.095,164.200,13195,164.456,164.246,164.311,164.301,164.294,164.354,-0.060,-0.046,43.564
10:06,164.200,164.250,164.170,164.180,11074,164.453,164.212,164.278,164.296,164.276,164.341,-0.065,-0.050,42.847
10:07,164.170,164.200,164.110,164.150,13921,164.449,164.194,164.248,164.288,164.257,164.327,-0.070,-0.054,41.754
10:08,164.160,164.210,164.000,164.165,194616,164.402,164.163,164.216,164.282,164.243,164.315,-0.072,-0.058,42.543
10:09,164.165,164.170,164.030,164.060,20857,164.397,164.151,164.179,164.256,164.215,164.296,-0.082,-0.062,38.600
10:10,164.060,164.099,163.960,164.010,29720,164.389,164.113,164.151,164.235,164.183,164.275,-0.092,-0.068,36.849
