time,open,high,low,close,volume,VWAP,5SMA,8SMA,13SMA,12EMA,26EMA,MACD,MACDS,RSI
09:00,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.216,0.034,0.049,NaN
09:01,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.219,0.031,0.046,NaN
09:02,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.221,0.029,0.042,NaN
09:03,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.223,0.027,0.039,NaN
09:04,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.225,0.025,0.036,NaN
09:05,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.227,0.023,0.034,NaN
09:06,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.229,0.021,0.031,NaN
09:07,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.230,0.020,0.029,NaN
09:08,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.232,0.018,0.027,NaN
09:09,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.233,0.017,0.025,NaN
09:10,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.234,0.016,0.023,NaN
09:11,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.236,0.014,0.021,NaN
09:12,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.237,0.013,0.020,NaN
09:13,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.238,0.012,0.018,NaN
09:14,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.239,0.011,0.017,NaN
09:15,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.239,0.011,0.016,NaN
09:16,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.240,0.010,0.014,NaN
09:17,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.241,0.009,0.013,NaN
09:18,359.250,359.250,359.250,359.250,0,358.603,359.250,359.250,359.250,359.250,359.242,0.008,0.012,NaN
09:19,356.090,356.090,356.090,356.090,100,358.331,358.618,358.855,359.007,358.764,359.008,-0.244,-0.039,0.000
09:20,356.090,356.090,356.090,356.090,0,358.331,357.986,358.460,358.764,358.352,358.792,-0.440,-0.119,0.000
09:21,356.090,356.090,356.090,356.090,0,358.331,357.354,358.065,358.521,358.004,358.592,-0.587,-0.213,0.000
09:22,356.090,356.090,356.090,356.090,0,358.331,356.722,357.670,358.278,357.710,358.407,-0.697,-0.310,0.000
09:23,356.090,356.090,356.090,356.090,0,358.331,356.090,357.275,358.035,357.461,358.235,-0.774,-0.402,0.000
09:24,356.090,356.090,356.090,356.090,0,358.331,356.090,356.880,357.792,357.250,358.076,-0.826,-0.487,0.000
09:25,356.090,356.090,356.090,356.090,0,358.331,356.090,356.485,357.548,357.071,357.929,-0.858,-0.561,0.000
